epoch_time,amount_of_USDC_token,one_USDC,guaranteed_price,protocol_fee,gas,gas_price,buy_token_to_ETH_rate,Gas Cost In SUSD
1657471219,20000,1.016470797,1.00630609,0,464000,34000000000,1165.424891,7.39E-14
1657472623,20000,1.016470223,1.006305521,0,464000,30000000000,1165.424891,8.37E-14
1657476222,20000,1.016468766,1.006304078,0,464000,30000000000,1165.424891,8.37E-14
1657479823,20000,1.016479034,1.006314243,0,464000,36000000000,1165.424891,6.98E-14
1657483422,20000,1.01647759,1.006312814,0,464000,37000000000,1165.424891,6.79E-14
1657487022,20000,1.016473555,1.006308819,0,464000,37000000000,1165.100341,6.79E-14
1657490623,20000,1.016267397,1.006104723,0,464000,31000000000,1164.775927,8.10E-14
1657494223,20000,1.016264883,1.006102234,0,464000,26000000000,1164.775927,9.65E-14
1657497823,20000,1.01646658,1.006301915,0,464000,17000000000,1164.775927,1.48E-13
1657501422,20000,1.016465153,1.006300502,0,464000,19000000000,1164.775927,1.32E-13
1657505023,20000,1.016463682,1.006299045,0,464000,30000000000,1148.72997,8.25E-14
1657508622,20000,1.016473592,1.006308856,0,464000,36000000000,1148.72997,6.88E-14
1657512222,20000,1.016472125,1.006307404,0,464000,32000000000,1148.036683,7.73E-14
1657515823,20000,1.016340281,1.006176878,0,364000,22000000000,1148.036683,1.43E-13
1657519422,20000,1.016340281,1.006176878,0,364000,24000000000,1148.036683,1.31E-13
1657523022,20000,1.016350079,1.006186578,0,364000,22000000000,1134.659786,1.42E-13
1657526622,20000,1.016193139,1.006031208,0,364000,19000000000,1134.659786,1.64E-13
1657530223,20000,1.016284999,1.006122149,0,364000,19000000000,1135.041778,1.64E-13
1657533822,20000,1.016280137,1.006117335,0,364000,16000000000,1134.965568,1.95E-13
1657537423,20000,1.016372242,1.00620852,0,364000,23000000000,1134.965568,1.36E-13
1657541023,20000,1.016372242,1.00620852,0,364000,36000000000,1134.965568,8.66E-14
1657544692,20000,1.016357467,1.006193893,0,364000,33000000000,1134.965568,9.45E-14
1657548222,20000,1.016266213,1.006103551,0,464000,26000000000,1134.965568,9.41E-14
1657551823,20000,1.016261396,1.006098782,0,364000,36000000000,1134.965568,8.66E-14
1657555423,20000,1.016292425,1.0061295,0,364000,49000000000,1134.965568,6.36E-14
1657559023,20000,1.016191235,1.006029323,0,404000,56000000000,1134.965568,5.02E-14
1657562622,20000,1.016147123,1.005985652,0,404000,52000000000,1134.965568,5.40E-14
1657569822,20000,1.016195522,1.006033567,0,364000,36000000000,1138.087638,8.69E-14
1657573487,20000,1.016247464,1.006084989,0,464000,32000000000,1138.087638,7.66E-14
1657577022,20000,1.016426577,1.006262311,0,433215,36000000000,1122.960031,7.20E-14
1657580622,20000,1.016461008,1.006296397,0,427388,34000000000,1102.508718,7.59E-14
1657584222,20000,1.016245754,1.006083296,0,464000,27000000000,1101.243184,8.79E-14
1657587880,20000,1.016303781,1.006140743,0,364000,24000000000,1091.631147,1.25E-13
1657591423,20000,1.016243364,1.00608093,0,464000,26000000000,1091.631147,9.05E-14
1657595023,20000,1.016242068,1.006079647,0,464000,37000000000,1091.631147,6.36E-14
1657598623,20000,1.016240688,1.006078281,0,464000,24000000000,1081.054345,9.71E-14
1657602223,20000,1.016285737,1.00612288,0,364000,23000000000,1081.054345,1.29E-13
1657605822,20000,1.016238165,1.006075784,0,364000,24000000000,1081.054345,1.24E-13
1657609423,20000,1.016128919,1.00596763,0,434000,21000000000,1081.054345,1.19E-13
1657613024,20000,1.016110797,1.005949689,0,364000,21000000000,1067.281166,1.40E-13
1657616623,20000,1.01612995,1.00596865,0,434000,23000000000,1067.281166,1.07E-13
1657620223,20000,1.01612995,1.00596865,0,434000,26000000000,1051.422771,9.32E-14
1657623822,20000,1.016129925,1.005968626,0,434000,22000000000,1051.422771,1.10E-13
1657627423,20000,1.016160209,1.005998607,0,464000,21000000000,1059.702424,1.09E-13
1657631023,20000,1.004044654,0.994004207,0,364000,32000000000,1059.702424,9.10E-14
1657634623,20000,1.003998279,0.993958296,0,434000,29000000000,1059.702424,8.42E-14
1657638222,20000,0.991998004,0.982078024,0,252582,37000000000,1059.702424,1.13E-13
1657641823,20000,0.992086037,0.982165177,0,244915,39000000000,1074.770885,1.13E-13
1657645423,20000,0.992088055,0.982167175,0,244915,50000000000,1074.770885,8.78E-14
1657649023,20000,0.992087795,0.982166917,0,244915,36000000000,1069.952454,1.21E-13
1657652622,20000,0.992134258,0.982212915,0,244915,28000000000,1065.295316,1.55E-13
1657656223,20000,0.992188165,0.982266283,0,253586,28000000000,1040.714577,1.47E-13
1657659823,20000,1.00403098,0.993990671,0,364000,1.04E+11,1040.714577,2.75E-14
1657663422,20000,1.004001868,0.993961849,0,364000,31000000000,1040.714577,9.22E-14
1657667023,20000,1.004001913,0.993961894,0,364000,35000000000,1040.714577,8.17E-14
1657670623,20000,1.004025322,0.993985069,0,364000,18000000000,1040.128078,1.59E-13
1657674223,20000,1.004025184,0.993984933,0,464000,23000000000,1040.128078,9.75E-14
1657677822,20000,1.003967955,0.993928275,0,364000,18000000000,1040.128078,1.59E-13
1657681423,20000,1.003959369,0.993919775,0,364000,32000000000,1045.46432,8.98E-14
1657685022,20000,1.004019753,0.993979555,0,464000,23000000000,1052.142037,9.86E-14