permutation,model,f1 score,strategy return,period,training months,fast window,slow window,factor,max transaction
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.1)-max(20000),DecisionTreeClassifier,0.46654695699912896,98742.58182239276,1,8,1,24,0.1,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.1)-max(30000),DecisionTreeClassifier,0.5180661522280027,106105.64066563116,1,8,1,24,0.1,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.1)-max(100000),DecisionTreeClassifier,0.49212711929588193,171495.05008371617,1,8,1,24,0.1,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.25)-max(20000),DecisionTreeClassifier,0.4330641671221811,106808.95746710073,1,8,1,24,0.25,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.25)-max(30000),DecisionTreeClassifier,0.6124416037283416,116917.37122984359,1,8,1,24,0.25,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.25)-max(100000),DecisionTreeClassifier,0.5733478002986306,170030.96397725213,1,8,1,24,0.25,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.5)-max(20000),DecisionTreeClassifier,0.6092913298680029,113144.10084815114,1,8,1,24,0.5,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.5)-max(30000),DecisionTreeClassifier,0.565681230014088,116124.21513278873,1,8,1,24,0.5,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.5)-max(100000),DecisionTreeClassifier,0.5843626421145334,177944.92032795114,1,8,1,24,0.5,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.8)-max(20000),DecisionTreeClassifier,0.4657695818255545,109651.14717206033,1,8,1,24,0.8,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.8)-max(30000),DecisionTreeClassifier,0.5257448552002808,129928.74100419605,1,8,1,24,0.8,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.8)-max(100000),DecisionTreeClassifier,0.4553460171141971,149159.09681373724,1,8,1,24,0.8,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(1)-max(20000),DecisionTreeClassifier,0.47277351950756485,105159.606450718,1,8,1,24,1.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(1)-max(30000),DecisionTreeClassifier,0.3947391326876608,108922.64505021264,1,8,1,24,1.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(1)-max(100000),DecisionTreeClassifier,0.45410235508377716,140756.22531464553,1,8,1,24,1.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(2)-max(20000),DecisionTreeClassifier,-0.17332271672799893,104086.58621545427,1,8,1,24,2.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(2)-max(30000),DecisionTreeClassifier,-0.29425734577156026,102007.44556628437,1,8,1,24,2.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(2)-max(100000),DecisionTreeClassifier,-0.40521278138319294,103225.69598067619,1,8,1,24,2.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(3)-max(20000),DecisionTreeClassifier,-0.7742245731135506,97164.31097273758,1,8,1,24,3.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(3)-max(30000),DecisionTreeClassifier,-0.729334533894332,99140.58924966159,1,8,1,24,3.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(24)-fa(3)-max(100000),DecisionTreeClassifier,-0.7478486393624566,103448.82964487426,1,8,1,24,3.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.1)-max(20000),DecisionTreeClassifier,0.5834438912038851,101537.47628811418,1,8,1,42,0.1,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.1)-max(30000),DecisionTreeClassifier,0.39031997778947913,81572.97218968606,1,8,1,42,0.1,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.1)-max(100000),DecisionTreeClassifier,0.472703838024658,158219.32685508247,1,8,1,42,0.1,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.25)-max(20000),DecisionTreeClassifier,0.5647010645853432,100361.8290679718,1,8,1,42,0.25,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.25)-max(30000),DecisionTreeClassifier,0.7121171477517081,116917.07514577755,1,8,1,42,0.25,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.25)-max(100000),DecisionTreeClassifier,0.6495584760181795,191418.1920518534,1,8,1,42,0.25,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.5)-max(20000),DecisionTreeClassifier,0.5166959355718375,107476.35760393005,1,8,1,42,0.5,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.5)-max(30000),DecisionTreeClassifier,0.5831205237657282,120363.5807946005,1,8,1,42,0.5,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.5)-max(100000),DecisionTreeClassifier,0.518438408197363,146521.40577426914,1,8,1,42,0.5,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.8)-max(20000),DecisionTreeClassifier,0.35917017760039527,99430.46105047221,1,8,1,42,0.8,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.8)-max(30000),DecisionTreeClassifier,0.5094759086787348,118356.21828597238,1,8,1,42,0.8,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.8)-max(100000),DecisionTreeClassifier,0.4548555475105025,128067.69140845705,1,8,1,42,0.8,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(1)-max(20000),DecisionTreeClassifier,0.3723629269814668,105113.8581955471,1,8,1,42,1.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(1)-max(30000),DecisionTreeClassifier,0.27551760969821315,100754.3447314718,1,8,1,42,1.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(1)-max(100000),DecisionTreeClassifier,0.351586855443907,137187.1663410647,1,8,1,42,1.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(2)-max(20000),DecisionTreeClassifier,-0.6117709647306038,96141.00875997078,1,8,1,42,2.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(2)-max(30000),DecisionTreeClassifier,-0.632212596221202,97712.54112274945,1,8,1,42,2.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(2)-max(100000),DecisionTreeClassifier,-0.6321040652746936,104061.97135645385,1,8,1,42,2.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(3)-max(20000),DecisionTreeClassifier,-1.001059342317678,99808.407290255,1,8,1,42,3.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(3)-max(30000),DecisionTreeClassifier,-0.9105217132005126,101699.03958043104,1,8,1,42,3.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(42)-fa(3)-max(100000),DecisionTreeClassifier,-0.8016943776427721,104173.64981177406,1,8,1,42,3.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.1)-max(20000),DecisionTreeClassifier,0.5335246181260327,100555.60187718816,1,8,1,60,0.1,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.1)-max(30000),DecisionTreeClassifier,0.5652969621178063,101612.94039259135,1,8,1,60,0.1,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.1)-max(100000),DecisionTreeClassifier,0.5063677664819466,188490.06633504725,1,8,1,60,0.1,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.25)-max(20000),DecisionTreeClassifier,0.6700280374747312,109744.55169861251,1,8,1,60,0.25,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.25)-max(30000),DecisionTreeClassifier,0.6579980410561876,102793.52719410474,1,8,1,60,0.25,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.25)-max(100000),DecisionTreeClassifier,0.6158499610254793,144357.16299154263,1,8,1,60,0.25,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.5)-max(20000),DecisionTreeClassifier,0.5476660908054558,105193.44464187128,1,8,1,60,0.5,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.5)-max(30000),DecisionTreeClassifier,0.6359661249275474,117651.56096987537,1,8,1,60,0.5,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.5)-max(100000),DecisionTreeClassifier,0.6374733706748779,177973.88686478115,1,8,1,60,0.5,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.8)-max(20000),DecisionTreeClassifier,0.557918678713235,109571.62620278432,1,8,1,60,0.8,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.8)-max(30000),DecisionTreeClassifier,0.3332336376713061,104124.9187774486,1,8,1,60,0.8,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.8)-max(100000),DecisionTreeClassifier,0.42192478378715026,150701.87142236036,1,8,1,60,0.8,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(1)-max(20000),DecisionTreeClassifier,0.36897938850682943,107983.69258379654,1,8,1,60,1.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(1)-max(30000),DecisionTreeClassifier,0.34254404821484985,114660.70077061067,1,8,1,60,1.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(1)-max(100000),DecisionTreeClassifier,0.26189415206333,127446.62731784233,1,8,1,60,1.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(2)-max(20000),DecisionTreeClassifier,-0.5774977829883556,98024.43642133013,1,8,1,60,2.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(2)-max(30000),DecisionTreeClassifier,-0.4886278908505739,100242.94760906752,1,8,1,60,2.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(2)-max(100000),DecisionTreeClassifier,-0.6266702153011681,104710.93244601245,1,8,1,60,2.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(3)-max(20000),DecisionTreeClassifier,-0.8305929351971972,98384.16724778218,1,8,1,60,3.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(3)-max(30000),DecisionTreeClassifier,-0.7731699337302138,96425.12400701825,1,8,1,60,3.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(60)-fa(3)-max(100000),DecisionTreeClassifier,-0.8559175183961512,99607.15079890248,1,8,1,60,3.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(0.1)-max(20000),DecisionTreeClassifier,0.44307669956447504,96214.81220368773,1,8,1,180,0.1,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(0.1)-max(30000),DecisionTreeClassifier,0.536074012905503,100324.56419815595,1,8,1,180,0.1,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(0.1)-max(100000),DecisionTreeClassifier,0.5176336647147375,146238.96074058057,1,8,1,180,0.1,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(0.25)-max(20000),DecisionTreeClassifier,0.45343217529328783,102989.28438308166,1,8,1,180,0.25,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(0.25)-max(30000),DecisionTreeClassifier,0.5021780506821423,98044.8175535854,1,8,1,180,0.25,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(0.25)-max(100000),DecisionTreeClassifier,0.6154180770468513,150050.74671719444,1,8,1,180,0.25,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(0.5)-max(20000),DecisionTreeClassifier,0.5607959160610487,105824.94823279738,1,8,1,180,0.5,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(0.5)-max(30000),DecisionTreeClassifier,0.502417078947585,108389.95005177078,1,8,1,180,0.5,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(0.5)-max(100000),DecisionTreeClassifier,0.44064452950148403,147856.49703369563,1,8,1,180,0.5,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(0.8)-max(20000),DecisionTreeClassifier,0.3056646145156652,111346.59921450476,1,8,1,180,0.8,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(0.8)-max(30000),DecisionTreeClassifier,0.24863968591972385,104499.70532553054,1,8,1,180,0.8,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(0.8)-max(100000),DecisionTreeClassifier,0.078148382809893,122081.54550417229,1,8,1,180,0.8,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(1)-max(20000),DecisionTreeClassifier,0.09101280257569777,98463.18227663853,1,8,1,180,1.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(1)-max(30000),DecisionTreeClassifier,-0.0723963620156538,105776.7940974502,1,8,1,180,1.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(1)-max(100000),DecisionTreeClassifier,0.2250949338338899,130946.44699297748,1,8,1,180,1.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(2)-max(20000),DecisionTreeClassifier,-0.7465177345512826,99977.11044554038,1,8,1,180,2.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(2)-max(30000),DecisionTreeClassifier,-0.8737552121554826,99843.75819965293,1,8,1,180,2.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(2)-max(100000),DecisionTreeClassifier,-0.5812149047569517,100824.83052340269,1,8,1,180,2.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(3)-max(20000),DecisionTreeClassifier,-0.9494225701275933,100971.70006227237,1,8,1,180,3.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(3)-max(30000),DecisionTreeClassifier,-0.9481090852255596,99642.60534085112,1,8,1,180,3.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(180)-fa(3)-max(100000),DecisionTreeClassifier,-0.9437186911331221,100194.49144188443,1,8,1,180,3.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(0.1)-max(20000),DecisionTreeClassifier,0.5452172557298272,95137.5622989074,1,8,1,252,0.1,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(0.1)-max(30000),DecisionTreeClassifier,0.47729621904070296,98580.44332435157,1,8,1,252,0.1,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(0.1)-max(100000),DecisionTreeClassifier,0.6472316170180636,125151.48737114632,1,8,1,252,0.1,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(0.25)-max(20000),DecisionTreeClassifier,0.5507650008681152,104190.21578687755,1,8,1,252,0.25,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(0.25)-max(30000),DecisionTreeClassifier,0.6673984306909337,118723.26265116132,1,8,1,252,0.25,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(0.25)-max(100000),DecisionTreeClassifier,0.6413825666419267,156727.05648568942,1,8,1,252,0.25,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(0.5)-max(20000),DecisionTreeClassifier,0.30369523273380206,98320.14367741882,1,8,1,252,0.5,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(0.5)-max(30000),DecisionTreeClassifier,0.31555982638094915,101408.6217175242,1,8,1,252,0.5,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(0.5)-max(100000),DecisionTreeClassifier,0.3179975808366342,127550.65324649664,1,8,1,252,0.5,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(0.8)-max(20000),DecisionTreeClassifier,0.27331605055145225,101644.10857208294,1,8,1,252,0.8,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(0.8)-max(30000),DecisionTreeClassifier,0.1633457115731023,109006.12197932923,1,8,1,252,0.8,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(0.8)-max(100000),DecisionTreeClassifier,0.16582746190553688,119281.79150115555,1,8,1,252,0.8,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(1)-max(20000),DecisionTreeClassifier,-0.09823498916310003,98806.2362023464,1,8,1,252,1.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(1)-max(30000),DecisionTreeClassifier,0.043348324084857115,107058.59888729712,1,8,1,252,1.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(1)-max(100000),DecisionTreeClassifier,-0.06794053968168967,111521.36622722728,1,8,1,252,1.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(2)-max(20000),DecisionTreeClassifier,-0.498400616622122,101277.20111184428,1,8,1,252,2.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(2)-max(30000),DecisionTreeClassifier,-0.46922066633651194,101118.89264119924,1,8,1,252,2.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(2)-max(100000),DecisionTreeClassifier,-0.5557641801157442,101960.39625585242,1,8,1,252,2.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(3)-max(20000),DecisionTreeClassifier,-0.8791325152028457,99252.54817747574,1,8,1,252,3.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(3)-max(30000),DecisionTreeClassifier,-0.9485655176003718,98105.51506582095,1,8,1,252,3.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(1)-lw(252)-fa(3)-max(100000),DecisionTreeClassifier,-0.9326625972836817,98110.34113581311,1,8,1,252,3.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(0.1)-max(20000),DecisionTreeClassifier,0.47820653213733,109606.08624760105,1,8,2,24,0.1,20000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(0.1)-max(30000),DecisionTreeClassifier,0.4491873097604767,107360.49498870713,1,8,2,24,0.1,30000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(0.1)-max(100000),DecisionTreeClassifier,0.37612269643219354,146803.9445335936,1,8,2,24,0.1,100000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(0.25)-max(20000),DecisionTreeClassifier,0.4599275321693861,106619.21590149627,1,8,2,24,0.25,20000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(0.25)-max(30000),DecisionTreeClassifier,0.5699886742938007,98873.17664892552,1,8,2,24,0.25,30000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(0.25)-max(100000),DecisionTreeClassifier,0.6283849148346161,157880.7794927972,1,8,2,24,0.25,100000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(0.5)-max(20000),DecisionTreeClassifier,0.5289867404148824,100221.72195441663,1,8,2,24,0.5,20000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(0.5)-max(30000),DecisionTreeClassifier,0.6601314215134123,106255.40446546953,1,8,2,24,0.5,30000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(0.5)-max(100000),DecisionTreeClassifier,0.5659610706095076,168110.74482007907,1,8,2,24,0.5,100000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(0.8)-max(20000),DecisionTreeClassifier,0.4281273999487807,110019.16535063965,1,8,2,24,0.8,20000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(0.8)-max(30000),DecisionTreeClassifier,0.43133098557930893,116302.70373274603,1,8,2,24,0.8,30000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(0.8)-max(100000),DecisionTreeClassifier,0.5488862198442049,156006.6547714605,1,8,2,24,0.8,100000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(1)-max(20000),DecisionTreeClassifier,0.3554304041656471,101023.86992855585,1,8,2,24,1.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(1)-max(30000),DecisionTreeClassifier,0.416564403508322,112954.30369835225,1,8,2,24,1.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(1)-max(100000),DecisionTreeClassifier,0.367882983508511,150806.18248346762,1,8,2,24,1.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(2)-max(20000),DecisionTreeClassifier,-0.38478015853610126,100414.44808247453,1,8,2,24,2.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(2)-max(30000),DecisionTreeClassifier,-0.3009669436214104,98240.43624886981,1,8,2,24,2.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(2)-max(100000),DecisionTreeClassifier,-0.16311251774721836,111311.4904314917,1,8,2,24,2.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(3)-max(20000),DecisionTreeClassifier,-0.6886629088576797,97354.41172264988,1,8,2,24,3.0,20000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(3)-max(30000),DecisionTreeClassifier,-0.7030971502228665,98328.79770152888,1,8,2,24,3.0,30000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(24)-fa(3)-max(100000),DecisionTreeClassifier,-0.6199346572845248,102819.65739169162,1,8,2,24,3.0,100000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(42)-fa(0.1)-max(20000),DecisionTreeClassifier,0.30352214964146995,96587.5016486958,1,8,2,42,0.1,20000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(42)-fa(0.1)-max(30000),DecisionTreeClassifier,0.47707103303113785,104823.74858143993,1,8,2,42,0.1,30000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(42)-fa(0.1)-max(100000),DecisionTreeClassifier,0.4772211932321855,142464.39497240243,1,8,2,42,0.1,100000
DecisionTreeClassifier-p1-tr(8)-sw(2)-lw(42)-fa(0.25)-max(20000),DecisionTreeClassifier,0.6203489687196548,114153.8990761314,1,8,2,42,0.25,20000
